Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-1.000000,,yPosition,-1.800000,,yPosition,-1.820000,,,

TIME,CH1,CH2,CH3,,TIME,MATH1
-1.76640000e-06,-1.01296875e+01,1.17742188e+03,-1.43750000e+00,,-1.76640000e-06,-2.96999118e-04
-1.76480000e-06,-1.01796875e+01,1.17757812e+03,-1.53125000e+00,,-1.76480000e-06,-2.99795676e-04
-1.76320000e-06,-1.00703125e+01,1.17812500e+03,-5.15625000e-01,,-1.76320000e-06,-3.01724183e-04
-1.76160000e-06,-1.00531250e+01,1.17882812e+03,-1.65625000e+00,,-1.76160000e-06,-3.03772104e-04
-1.76000000e-06,-1.00625000e+01,1.17679688e+03,-1.92187500e+00,,-1.76000000e-06,-3.07143375e-04
-1.75840000e-06,-1.01109375e+01,1.17773438e+03,-1.75000000e+00,,-1.75840000e-06,-3.10601521e-04
-1.75680000e-06,-1.00765625e+01,1.18000000e+03,-1.20312500e+00,,-1.75680000e-06,-3.13386088e-04
-1.75520000e-06,-1.01343750e+01,1.17695312e+03,-1.04687500e+00,,-1.75520000e-06,-3.15507525e-04
-1.75360000e-06,-1.00843750e+01,1.17695312e+03,-1.62500000e+00,,-1.75360000e-06,-3.18023260e-04
-1.75200000e-06,-1.00781250e+01,1.18148438e+03,-8.59375000e-01,,-1.75200000e-06,-3.20365565e-04
